empresa;franquia;nome;endereco;bairro;cidade;estado;cep;telefone;horario_funcionamento;produtos_para;servicos_disponiveis
petz;1;Petz Carrefour Tietê;Av. Morvan Dias de Figueiredo, 3177;Vila Guilherme;São Paulo;SP;02063-902;(011) 2181-7351;Segunda a sábado - das 08:00 às 22:00Domingo - das 10:00 às 22:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Cascavel;Avenida Brasil, 4254;Centro;Cascavel;PR;85812-000;(045) 3035-8060;Segunda a domingo - das 09:00 às 22:00Feriado - das 09:00 às 18:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia, Petz Play
petz;1;Petz Castelo;Av. Pres. Tancredo Neves, 3005;Paquetá;Belo Horizonte;MG;30840-535;(31) 3079-7387;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Catuai Londrina;Rod. Mabio Gonçalves Palhano, 195 - em frente ao Catuaí Shopping;Gleba Fazenda Palhano;Londrina;PR;86055-585;(043) 3032-1060;Todos os dias - das 09:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Cavalhada;Av. Eduardo Prado, 415;Cavalhada;Porto Alegre;RS;91751-000;(051) 3557-4779;Todos os dias - das 08:00 às 22:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Caxias do Sul;Av Rubens Bento Alves, 8457;Cinquentenário;Caxias do Sul;RS;95012-393;(054) 3538-2760;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Ceilândia;St. M-Norte , Q 1;Taguatinga;Brasília;DF;72145-100;(61) 3221-7382;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Center Minas;Av. Pastor Anselmo Silvestre, 1395 , 1495 - Shopping Center Minas;Dom Joaquim;Belo Horizonte;MG;31170-678;(031) 3079-7389;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Center Shopping Uberlândia;Av. João Naves de Ávila, 1331;Tibery;Uberlândia;MG;38405-140;(034) 2154-1791;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 12:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Cerro Corá;Rua Cerro Corá, 1950;Vila Romana;São Paulo;SP;05061-300;(011) 2181-7321;Todos os dias - das 08:00 às 23:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Chapecó;Av. Fernando Machado, 1001D;Centro;Chapecó;SC;89802-111;(47) 3311-7758;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa
petz;1;Petz Cidade Jardim;Av dos Tajuras, 147 - 161;Cidade Jardim;São Paulo;SP;05670-000;(11) 2181-7345;Todos os dias - das 08:00 às 22:00;Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Congonhas;Av. Moreira Guimarães, 631 - 657;Indianópolis;São Paulo;SP;04074-030;(011) 2181-7303;Todos os dias - das 08:00 às 00:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Contagem;Av. Babita Camargos, 1295 - Loja 03;Cidade Industrial;Contagem;MG;32210-180;(031) 3079-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Contagem João Cesar;Av. João César de Oliveira, 5750;Funcionários;Contagem;MG;32040-000;(031) 3079-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Continente;R. Martinho Boschetti, 2083;Picadas do Sul;São José;SC;88106-110;(048) 3181-0700;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Copacabana;Av. Nossa Senhora de Copacabana, 1246;Copacabana;Rio de Janeiro;RJ;22070-012;(021) 3161-7389;Todos os dias - das 08:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Cotia;Rodovia Raposo Tavares KM 21, 5650 - Acesso tambem pela Rua Damasco;Lageadinho;Cotia;SP;06709-015;(011) 2181-7323;Todos os dias - das 08:00 às 23:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Criciúma;Av. Centenário, 6323;Próspera;Criciúma;SC;88801-001;(48) 3299-1951;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Cristiano Machado;Av. Cristiano Machado, 10688;Jardim Guanabara;Belo Horizonte;MG;31742-005;(31) 3079-7389;Todos os dias - das 08:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Diadema;Av. Fábio Eduardo Ramos Esquivel, 1100;Centro;Diadema;SP;09920-578;(011) 2181-7352;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Diário de Notícias;Avenida Diário de Notícias, 1500;Cristal;Porto Alegre;RS;90810-080;(051) 3557-4779;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Divinópolis;R. Minas Gerais, 640;Centro;Divinópolis;MG;35500-007;(37) 2102-5018;Segunda a domingo - das 08:00 às 20:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
