empresa;franquia;nome;endereco;bairro;cidade;estado;cep;telefone;horario_funcionamento;produtos_para;servicos_disponiveis
petz;1;Petz João Firmino;Av. João Firmino, 342;Assunção;São Bernardo do Campo;SP;09810-250;(011) 2181-7337;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz João Pessoa;Av. Senador Ruy Carneiro, 711;Tambau;João Pessoa;PB;58039-180;(83) 3048-3252;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Joinville;R. Dr. João Colin, 940;América;Joinville;SC;89204-070;(047) 3207-3386;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 12:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Juiz de Fora;Avenida Rio Branco, 3820;Alto dos Passos;Juiz de Fora;MG;36026-500;(032) 3321-8582;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Jundiaí;Av. Antonio Frederico Ozanan, 3003 - Junto ao Atacadista Roldao;Vila de Vito;Jundiaí;SP;13215-010;(011) 2181-7440;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Jundiaí Anhanguera;Av. Dr. Adilson Rodrigues, 77;Jundiaí;Jundiaí;SP;13211-685;(011) 2181-7349;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Peixes, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Lauzane Paulista;Avenida Direitos Humanos, 1436;Lauzane Paulista;São Paulo;SP;02475-001;(011) 2181-7326;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Limão;Av. Otaviano Alves de Lima, 1480;Limão;São Paulo;SP;02501-000;(11) 2181-7325;Segunda a sábado - das 08:00 às 23:00Domingo - das 09:00 às 22:00Feriado - das 08:00 às 23:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Linha Verde;Av. Caviúna, 548;Atuba;Curitiba;PR;82840-123;(041) 3528-7389;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - das 09:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Litoral Plaza;Av. Ayrton Senna da Silva, 1511 - Loja Ext. V - Litoral Plaza;Tude Bastos;Praia Grande;SP;11726-000;(013) 3202-7400;Segunda a sábado - das 08:00 às 20:00Domingo e Feriado - das 10:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Londrina Tiradentes;Av. Tiradentes, 1919;Rodocentro;Londrina;PR;86071-000;(043) 3032-1060;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Manuel Gaya;Rua Manuel Gaya, 2000;Vila Mazzei;São Paulo;SP;02313-000;(011) 2181-7300;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Maraponga;Av. Godofredo Maciel, 2560;Mondubim;Fortaleza;CE;60710-684;(085) 3031-5593;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Marechal Tito;Avenida Marechal Tito, 5699 - Junto ao MercadoCar;Itaim Paulista;São Paulo;SP;08115-100;(011) 2181-7307;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Marginal Tietê 24h;R. Dr. Miguel Paulo Capalbo, 166;Pari;São Paulo;SP;03035-040;(011) 2181-7380;Todos os dias - 24h;Cachorros, Gatos, Pássaros, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Maringá;Av. Paraná, 1250;Zona 7;Maringá;PR;87020-085;(044) 3123-2350;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - loja fechada;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Mateus Leme;Rua Mateus Leme, 1875;Bom Retiro;Curitiba;PR;80520-174;(041) 3528-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Mauro Ramos;Av. Mauro Ramos, 1586;Centro;Florianópolis;SC;88020-302;(048) 3181-0700;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Miguel Sutil;Av. Miguel Sutil , 10000;Jardim Mariana;Cuiabá;MT;78040-790;(065) 3025-8889;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Mogi das Cruzes;Av. Francisco Rodrigues Filho, 1550;Botujuru;Mogi das Cruzes;SP;08840-000;(011) 2181-7435;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Mogi Guaçu;Av. Mogi Mirim, 970;Areião;Mogi Guaçu;SP;13844-110;(019) 3362-2558;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 09:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Moinhos de Vento;Rua Quintino Bocaiúva, 433;Floresta;Porto Alegre;RS;90440-051;(051) 3557-4779;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Mooca;Av. Paes de Barros, 1654;Mooca;São Paulo;SP;03114-001;(011) 2181-7400;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Mooca Plaza Shopping;R. Cap. Pacheco e Chaves, 313;Vila Prudente;São Paulo;SP;03126-000;(011) 2181-7348;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 12:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Morumbi;Rua Aureliano Guimarães, 201;Morumbi;São Paulo;SP;05727-160;(011) 2181-7389;Segunda a sábado - das 08:00 às 23:00Domingo e Feriado - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Nações Unidas;Avenida das Nações Unidas, 20727;Vila Almeida;São Paulo;SP;04795-100;(11) 2181-7460;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Natal;Av. Sen. Salgado Filho, 2431;Lagoa Nova;Natal;RN;59075-000;(084) 3301-6517;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Natal Zona Norte;Av. Dr. João Medeiros Filho, 1420;Potengi;Natal;RN;59108-550;(084) 3301-6517;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Nordestina;Av. Nordestina, 2740;Cidade Nova São Miguel;São Paulo;SP;08042-117;(011) 2181-7332;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Norte Sul Plaza;Av. Presidente Ernesto Geisel, 2300 - Shopping Norte Sul Plaza;Jardim Joquei Club;Campo Grande;MS;79080-105;(067) 3222-6097;Todos os dias - das 09:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Nossa Senhora do Carmo;Av. Nossa Senhora do Carmo, 1448;São Pedro;Belo Horizonte;MG;30330-000;(031) 3079-7389;Todos os dias - das 08:00 às 00:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Nova Iguaçu;Av. Abílio Augusto Távora, 292;Jardim Alvorada;Nova Iguaçu;RJ;26265-090;(021) 3161-7387;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Novo Hamburgo;Rua Castro Alves, 205;Rio Branco;Novo Hamburgo;RS;93310-270;(051) 3273-9229;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Olinda;R. Carmelita Muniz de Araújo, 225;Casa Caiada;Olinda;PE;53130-645;(81) 3033-7592;Segunda a domingo - das 08:00 às 22:00Feriado - das 09:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Osasco;Av. dos Autonomistas, 1473 - Parte A;Vila Yara;Osasco;SP;06090-010;(011) 2181-7304;Todos os dias - das 08:00 às 00:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Pacaembu;Praça Charles Miller, 117;Pacaembu;São Paulo;SP;01234-010;(011) 2181-7460;Segunda a sábado - das 08:00 às 23:00Domingo - das 09:00 às 22:00Feriado - das 08:00 às 23:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Palmas;Q. 101 Sul Avenida LO 3, S/N;Plano Diretor Sul;Palmas;TO;77015-002;(063) 3025-1432;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - loja fechada;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Pampulha;Av. Professor Magalhães Penido, 1000;Liberdade;Belo Horizonte;MG;31270-652;(031) 3079-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Pão de Açúcar Jabaquara;Av. Eng. Armando de Arruda Pereira, 1900;Jardim Oriental;São Paulo;SP;04308-001;(11) 2181-7499;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 22:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Parada de Taipas;Av. Raimundo Pereira de Magalhães, 12219;Parada De Taipas;São Paulo;SP;02989-095;(11) 2181-7358;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz ParkShopping Brasília;ParkShopping Brasília, - SMAS Trecho 1;Guará;Brasília;DF;71219-900;(061) 3221-7383;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 11:40 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Parnamirim;Av. Dezessete de Agosto, 295;Parnamirim;Recife;PE;52060-590;(081) 3033-7591;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Parque Flamboyant;Av. Deputado Jamel Cecílio, 2697 - quadra B16, lotes 17/19;Jardim Goiás;Goiânia;GO;74810-100;(062) 2764-7389;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 09:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Parque Shopping Bahia;Avenida Santos Dumont, 4360;Centro;Lauro de Freitas;BA;42702-400;(071) 3506-1390;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - das 13:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Parque Shopping Maceió;Av. Comendador Gustavo Paiva, 5945;Cruz das Almas;Maceió;AL;57038-000;(82) 2122-1601;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 12:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Passeio das Águas;Av. Perimetral Norte, 8303 - Fazenda das Caveiras;Passeio das Águas;Goiânia;GO;74445-360;(062) 2764-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Pelotas;Avenida Ferreira Viana, 1511;Areal;Pelotas;RS;96085-000;(053) 3026-1819;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Pereira Barreto;Rua Thales Dos Santos Freire, 36 - Quadra 8B LOT 26,27,28,29 e 30;Baeta Neves;São Bernardo do Campo;SP;09751-020;(011) 2181-7475;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária
petz;1;Petz Pindamonhangaba;Av. Dr. Jorge Tibiriçá, 593;Chácara Galega;Pindamonhangaba;SP;12422-050;(12) 2138-2969;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 10:00 às 18:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Piracicaba;Av. Centenário, 780;São Dimas;Piracicaba;SP;13416-000;(019) 3341-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Pituba;Av. Manoel Dias da Silva, 1251;Pituba;Salvador;BA;41830-001;(071) 3506-1391;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Plaza Avenida Shopping;Av. José Munia, 4775 - Shopping Plaza Avenida, Piso T;Redentor;São José do Rio Preto;SP;15085-350;(017) 3301-2797;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 14:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Casa e Jardim;Farmácia
petz;1;Petz Poços de Caldas;Av. João Pinheiro, 711;Centro;Poços de Caldas;MG;37701-387;(035) 3014-9100;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Pompeia;Av. Francisco Matarazzo, 2000 - Complexo SP MEGA STORES;Água Branca;São Paulo;SP;05001-200;(011) 2181-7405;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Ponta Verde;R. Prof. Sandoval Arroxelas, 1078;Ponta Verde;Maceió;AL;57035-230;(82) 2122-1601;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Porto Velho Shopping;Av. Pref. Chiquilito Erse, 3288;Flodoaldo Pontes Pinto;Porto Velho;RO;76820-408;(069) 3197-0133;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 13:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Praia Grande;Av. Presidente Kennedy, 2900;Guilhermina;Praia Grande;SP;11600-000;(013) 3202-7402;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Presidente Kennedy;Av. Sgt. Hermínio Sampaio, 2965 - ao lado do Assai Atacadista;Pres. Kennedy;Fortaleza;CE;60355-503;(085) 3031-5592;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 18:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Presidente Prudente;Av. Manoel Goulart, 2671;Centro Educacional;Presidente Prudente;SP;19010-000;(018) 3904-5500;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Protásio Alves;Av. Protásio Alves, 4194 - Loja 2;Petrópolis;Porto Alegre;RS;91310-000;(051) 3557-4779;Todos os dias - das 08:00 às 00:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Radial Leste;Av. Alcântara Machado , 3300;bras;São Paulo;SP;03102-007;(011) 2181-7430;Segunda a sábado - das 08:00 às 00:00Domingo - das 09:00 às 23:00Feriado - das 08:00 às 00:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Raja Gabaglia;Avenida Raja Gabaglia, 3230;Estoril Belo Horizonte;Belo Horizonte;MG;30360-670;(031) 3079-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Ribeirão Independência;Avenida Independência , 1810;Jardim Sumare;Ribeirão Preto;SP;14025-393;(016) 3602-8190;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Ribeirão Presidente Vargas;Av. Pres. Vargas, 2265;Jardim Santa Ângela;Ribeirão Preto;SP;14020-525;(016) 3602-8190;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Ricardo Jafet;Av. Dr. Ricardo Jafet, 1750;Vila Mariana;São Paulo;SP;04260-000;(11) 2181-7495;Todos os dias - 24h;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Rio Claro;Avenida Presidente Kennedy, 414;Estadio;Rio Claro;SP;13501-270;(019) 3341-7388;Segunda a sábado - das 08:00 às 22:00Domingo - das 08:00 às 20:00Feriado - das 08:00 às 15:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia, Petz Play
petz;1;Petz Rio Grande;Avenida Presidente Vargas, 794;Vila Junção;Rio Grande;RS;96202-188;(053) 3204-2516;Todos os dias - das 09:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Riomar;Av. República do Líbano, 251 - Shopping RioMar Recife;Pina;Recife;PE;51110-131;(081) 3033-7590;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - das 12:00 às 21:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Rio Verde;Av. Pres. Vargas Q 37, 27;Jardim Pres.;Rio Verde;GO;75908-420;(62) 2764 7380;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Rita Maria;Rua Henrique Valgas, 64;Centro;Florianópolis;SC;88010-220;(048) 4042-9926;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Roberto Freire;Avenida Engenheiro Roberto Freire, 20;Capim Macio;Natal;RN;59078-570;(084) 3301-6517;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Ruben Bento Alves;Av. Rubem Bento Alves, 3483;Universitário;Caxias do Sul;RS;95032-440;(054) 3022-3376;Segunda a sábado - das 08:00 às 22:00Domingo e Feriado - das 08:00 às 19:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Salvador Bonocô;Av. Mario Leal Ferreira, 500;Bonocô;Salvador;BA;40285-600;(071) 3506-1390;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Salvador Paralela;Av. Luís Viana, 2768;Imbuí;Salvador;BA;41720-200;(071) 3506-1390;Todos os dias - das 08:00 às 00:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Samambaia do Sul;Quadra 302, S/N - Conjunto 7;Samambaia do Sul;Brasília;DF;72300-630;(11) 3434-6800;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa
petz;1;Petz Santa Bárbara D'Oeste;Av. Corifeu de Azevedo Marques, 1102;Colina;Santa Bárbara d;SP;13450-088;(019) 3478-0141;Segunda a sábado - das 08:00 às 22:00Domingo - das 09:00 às 21:00Feriado - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
petz;1;Petz Santa Cecília;Av. General Olímpio da Silveira, 68;Santa Cecília;São Paulo;SP;01150-000;(011) 2181-7335;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Santa Maria;Av. Hélvio Basso, 1201;Duque de Caxias;Santa Maria;RS;97070-805;(55) 3301-3271;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;
petz;1;Petz Santo André;Av. Ramiro Colleoni , 355;Vila Assunção;Santo André;SP;09040-160;(011) 2181-7370;Todos os dias - das 08:00 às 22:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Santo André Dom Pedro;Av. Dom Pedro II, 933;Jardim;Santo André;SP;09080-110;(011) 2181-7313;Todos os dias - das 08:00 às 22:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Santos Dumont;Avenida Santos Dumont, 5650;Cocó;Fortaleza;CE;60192-018;(085) 3031-5592;Todos os dias - das 08:00 às 00:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Santos Macuco;Rua Dr. Manoel Tourinho, 385;Macuco;Santos;SP;11015-031;(013) 3202-7400;Todos os dias - das 08:00 às 22:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz São Bernardo;Av. Rotary, 825 - junto ao Center Castilho;Centro;São Bernardo do Campo;SP;09721-000;(011) 2181-7420;Segunda a sexta - das 08:00 às 22:00Sábado - das 08:00 às 21:00Domingo e Feriado - das 09:00 às 17:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz São Carlos;Av. Francisco Pereira Lopes, 1701;Parque Maria Santa Mônica;São Carlos;SP;13561-250;(016) 3602-8191;Segunda a sábado - das 09:00 às 22:00Domingo e Feriado - das 09:00 às 20:00;Cachorros, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz São José do Rio Preto;Av. Pres. Juscelino K. Oliveira, 400;Jardim Maracanã;São José do Rio Preto;SP;15092-175;(017) 3301-2797;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz São Leopoldo;Av. Getúlio Vargas, 1802;Fião;São Leopoldo;RS;93020-566;(51) 3052-0481;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz São Luís;Av. Daniel De La Touch, 10240;Vila Vicente Fialho;São Luís;MA;65074-115;(098) 3089-4991;Segunda a sábado - das 08:00 às 00:00Domingo e Feriado - das 08:00 às 14:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz São Miguel;Av. São Miguel, 7988;Vila Norma;São Paulo;SP;08070-001;(11) 2181-7311;Segunda a sábado - das 10:00 às 22:00Domingo e Feriado - das 14:00 às 20:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz São Vicente;Avenida Antônio Emmerick, 23;Vila Cascatinha;São Vicente;SP;11390-001;(013) 3202-7400;Todos os dias - das 08:00 às 22:00;Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Farmácia
petz;1;Petz Seminário;Av. Nossa Senhora Aparecida, 582;Seminário;Curitiba;PR;80440-000;(041) 3528-7389;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia, Petz Play
petz;1;Petz Serra;Avenida Eldes Scherrer Souza, 1511;Parque Res. Laranjeiras;Serra;ES;29165-680;(027) 3022-5308;Todos os dias - das 08:00 às 22:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Unidade Veterinária, Farmácia
petz;1;Petz Sete Lagoas;Avenida Raquel Teixeira Viana, 983;Canaã;Sete Lagoas;MG;35700-293;(031) 3176-6017;Todos os dias - das 08:00 às 20:00;Cachorros, Gatos, Pássaros, Peixes, Outros pets, Casa e Jardim;Banho e tosa, Farmácia
