empresa;franquia;nome;telefone;endereco;bairro;cidade;estado;cep
petland;1;Petland Presidente Venceslau;(18) 3272-2301;Rua Padre Anchieta, 10;;Presidente Venceslau;SP;
petland;1;Petland Presidente Vargas;(37) 9.9917-6080;Rua Jurema, 12;;Pará de Minas;MG;
petland;1;Petland Petrópolis;(51) 98027-1698;Av. Protásio Alves, 2989, Loja 103;;Porto Alegre;RS;
petland;1;Petland Ilhabela;(12) 99144-4114;Av. Princesa Isabel, 1370;Perequê;Ilhabela;SP;
petland;1;Petland Perdizes;(11) 2729-2901;Rua Apinajés, 550;;Perdizes São Paulo;SP;
petland;1;Petland Península;(98) 3089-4809;Av. dos Holandeses, s/n, quadra 08, lote 02;;São Luís;MA;
petland;1;Petland Pedro Marques;(15) 99783-6909;Rua Pedro Marques, 35;;Itapetininga;SP;
petland;1;Petland Santana Pedro Doll;(11) 2978-7226;Rua Pedro Doll, 259;;São Paulo;SP;
petland;1;Petland Paulista;(34) 98424-3443;Av. Dona Jane Conceição, 1404;;Piracicaba;SP;
petland;1;Petland Parque das Américas;(11) 99564-3977;R. Bolívia, 68;;Parque das Américas Mauá;SP;
petland;1;Petland Papini;(11) 5660-6033;Rua Cambuci do Vale, 525;;São Paulo;SP;
petland;1;Petland Nicomedes;(34) 3305-0565;Av Nicomedes Alves dos Santos 1100;;Uberlândia;MG;
petland;1;Petland Nebraska;(11) 5093-3358;Rua Nebraska, 67;;São Paulo;SP;
petland;1;Petland Matozinhos;(32) 98489-2011;Rua Tomé Portes Del Rei, 25;;São João Del Rei;MG;
petland;1;Petland Pinheiros – Mateus Grou;(11) 3816-5292;R. Mateus Grou, 505;Pinheiros;São Paulo;SP;
petland;1;Petland José Menino;13 99174-6868;Rua Rei Jorge VI, 4;;Santos;SP;
petland;1;Petland Jasmim;(19) 3296-2798;Rua Jasmim, 477;;Campinas;SP;
petland;1;Petland Jardim dos Colibris;(19) 3936-2646;Av. Josué Ferreira da Silva, 382;Jardim dos Colibris;Indaiatuba;SP;
petland;1;Petland Janga;(81) 99941-9271;Avenida Doutor Claudio Gueiros Leite, 2630 ,  Loja 02;;Janga Paulista;PE;
petland;1;Petland Jaguaribe;(11) 98159-1589;Av. Flora, 344;;Jaguaribe Osasco;SP;
petland;1;Petland Jaboticabeiras;(12) 99227-3617;Rua Praça Marta de Miranda Del Rei, 35;Padre Cursino;Taubaté;SP;
petland;1;Petland Independência;(12) 99710-0726;Av. Independência, 65;;Taubaté;SP;
petland;1;Petland Higienópolis;(11) 94556-6456;Praça Vilaboim, 20;;São Paulo;SP;
petland;1;Petland Guaianazes Otelo;(11) 91319-5523;Rua Otelo Augusto Ribeiro, 508;;São Paulo;SP;
petland;1;Petland Jaú;(14) 3626-2797;Rua General Isidoro, 491;;Jaú;SP;
petland;1;Petland Garcia;(79) 99970-0024;Avenida Jorge Amado, 1466, loja 01;;Aracaju;SE;
petland;1;Petland Formiga;(37) 3321-2061;Avenida Doutor Henrique Braga, 98;;Formiga;MG;
petland;1;Petland Santa Rosa;(55) 99697-6794;Avenida expedicionário Weber, 1527;;Santa Rosa;RS;
petland;1;Petland Dom Nery;(19) 99757-5525;Av. Dom Nery, 623;;Valinhos;SP;
petland;1;Petland Dom Joaquim;(53) 99139-9130;Av. Dom Joaquim, 1041;;Pelotas;RS;
petland;1;Petland Dom Bosco;(31) 3417-4894;Av. Brigadeiro Eduardo Gomes 283;;Belo Horizonte;MG;
petland;1;Petland Cupecê;(11) 5677-8141;Avenida Cupecê, 1777;;São Paulo;SP;
petland;1;Petland Cidade Nova;(19) 99794-4007;Rua Armando Salles de Oliveira, 535;;Indaiatuba;SP;
petland;1;Petland Bento Gonçalves;(54) 3702-4551;Rua Olavo Bilac, 207;;Bento Gonçalves;RS;
petland;1;Petland Canal 3;(13) 3345-7002;Av. Washington Luiz, 500;;Santos;SP;
petland;1;Petland Campo Belo;(11) 5532-1584;R. Conde de Porto Alegre, 1460;;Campo Belo São Paulo;SP;
petland;1;Petland Cambuí;(19) 99519-6031;R. dos Bandeirantes, 60;;Campinas;SP;
