empresa,nome,endereco,bairro,cidade,estado,cep,latitude,longitude
PetCamp,Itaquaquecetuba - PetCamp Itaquaquecetuba - Loja 082,Av Italo Adami,,Itaquaquecetuba,SP,,-23.4984,-46.34929
PetCamp,Itatiba - PetCamp Itatiba Centro - Loja 077,Av. Campos Sales,,Itatiba,SP,,-23.00424,-46.83839
PetCamp,Itatiba - PetCamp Galetto - Loja 066,Av. Pedro Mascagni,,Itatiba,SP,,-23.009154487087482,-46.82369863558206
PetCamp,Itu - PetCamp Itu - Loja 037,Av. Tiradentes,,Itu,SP,,-23.279469607801204,-47.29054502208966
PetCamp,Jaboticabal - PetCamp Jaboticabal - Loja 091,Av. Clotilde Verri,,Jaboticabal,SP,,-21.26606,-48.30981
PetCamp,Jacareí - PetCamp Jacareí Letras - Loja 072,Av. das Letras,,Jacareí,SP,,-23.264778684701838,-45.9435042932538
PetCamp,Jaguariúna - PetCamp Jaguariúna - Loja 019,R. Maria Ângela,,Jaguariúna,SP,,-22.705751093919865,-46.990374477910336
PetCamp,Jundiaí - PetCamp Engordadouro - Loja 093,Av. Professor Pedro Clarismundo Fornari,,Jundiaí,SP,,-23.15307056767369,-46.9137651
PetCamp,Jundiaí - PetCamp Colônia - Loja 043,Rua Doutor Antenor Soares Gandra,,Jundiaí,SP,,-23.18275404343197,-46.85640683558207
PetCamp,Jundiaí - PetCamp Jd Retiro - Loja 052,Rua do Retiro,,Jundiaí,SP,,-23.18741760673065,-46.897217464417935
PetCamp,Leme - PetCamp Leme - Loja 061,Av. Benedito Landgraf,,Leme,SP,,-22.189068621470387,-47.396417777910344
PetCamp,Limeira - PetCamp Ouro Verde - Loja 067,"Rua Vicente De Felice, 580",,Limeira,SP,,-22.584877248001952,-47.42203658779973
PetCamp,Limeira - PetCamp Limeira - Loja 009,Av. Maria Buzolin,,Limeira,SP,,-22.559426704192457,-47.41369407791034
PetCamp,Lins - PetCamp Lins - Loja 088,Rua Floriano Peixoto,,Lins,SP,,-21.67385,-49.75689
PetCamp,Matão  - PetCamp Matão  - Loja 071,Rua São Lourenço,,Matão,SP,,-21.600807160417183,-48.355527799999265
PetCamp,Mogi Guaçu - PetCamp Mogi Guaçu - Loja 010,Av. Mogi Mirim,,Mogi Guaçu,SP,,-22.38994107971872,-46.945224850924724
PetCamp,Mogi Mirim - PetCamp Mogi Mirim - Loja 017,Rua Padre Roque,,Mogi Mirim,SP,,-22.43908982817026,-46.96436137791034
PetCamp,Mogi das Cruzes - PetCamp Mogi das Cruzes - Loja 047,Av. Francisco Rodrigues Filho,,Mogi das Cruzes,SP,,-23.516685552836773,-46.18865963558208
