empresa;nome;endereco;cidade;bairro;estado;cep;latitude;longitude;data_extracao
cobasi;Pet Shop Cobasi São Carlos;Rua Passeio dos Flamboyants;São Carlos;;SP;13561-352;;;10/10/2025
cobasi;Pet Shop Cobasi São José do Rio Preto Falavina;Av. Domingos Falavina;São José do Rio Preto;;SP;15046-265;;;10/10/2025
cobasi;Pet Shop Cobasi São José do Rio Preto Iguatemi;Av. Juscelino Kubitschek;São José do Rio Preto;;SP;15093-340;;;10/10/2025
cobasi;Pet Shop Cobasi São José dos Campos;Av. Dep. Benedito Matarazzo;São José dos Campos;;SP;12246-840;;;10/10/2025
cobasi;Pet Shop Cobasi São José dos Campos Jardim Oriente;Shopping Jd. Oriente - Rua Andorra;São José dos Campos;;SP;12235-050;;;10/10/2025
cobasi;Pet Shop Cobasi São José dos Campos Nelson D'Ávila;Av. Dr. Nelson D´Ávila;São José dos Campos;;SP;12245-030;;;10/10/2025
cobasi;Pet Shop Cobasi São José dos Pinhais Av. Torres;Av. Torres;São José dos Pinhais;;PR;83005-450;;;10/10/2025
cobasi;Pet Shop Cobasi São Judas;Av. Jabaquara;São Paulo;;SP;04045-003;;;10/10/2025
cobasi;Pet Shop Cobasi São Vicente;Avenida Presidente Wilson;São Vicente;;SP;11320-001;;;10/10/2025
cobasi;Pet Shop Cobasi Tamboré;Alameda Araguaia;Barueri;;SP;06455-000;;;10/10/2025
cobasi;Pet Shop Cobasi Tatuapé;Rua Visconde de Itaboraí;São Paulo;;SP;03308-050;;;10/10/2025
cobasi;Pet Shop Cobasi Taubaté;Av Dom Pedro I;Taubaté;;SP;12081-810;;;10/10/2025
cobasi;Pet Shop Cobasi Taubaté II;Avenida Charles Schnneider;Taubaté;;SP;12040-000;;;10/10/2025
cobasi;Pet Shop Cobasi Teodoro Sampaio;Rua Teodoro Sampaio;São Paulo;;SP;05418-020;;;10/10/2025
cobasi;Pet Shop Cobasi Teotônio Vilela;Avenida Senador Teotônio Vilela;São Paulo;;SP;04833-000;;;10/10/2025
cobasi;Pet Shop Cobasi Tutoia;R. Tutóia;São Paulo;;SP;04007-002;;;10/10/2025
cobasi;Pet Shop Cobasi Uberaba;Av. Santos Dumont;Uberaba;;MG;38050-590;;;10/10/2025
cobasi;Pet Shop Cobasi Uberlândia;Av Rondon Pacheco;Uberlândia;;MG;38400-242;;;10/10/2025
cobasi;Pet Shop Cobasi Valinhos;Rua Luiz Spiandorelli Neto;Valinhos;;SP;13271-570;;;10/10/2025
cobasi;Pet Shop Cobasi Via Parque Shopping;Avenida Ayrton Senna;Rio de Janeiro;;RJ;22775-904;;;10/10/2025
cobasi;Pet Shop Cobasi Viamão;Rodovia Tapir Rocha;Viamão;;RS;94440-000;;;10/10/2025
cobasi;Pet Shop Cobasi Vila Velha;Shopping Vila Velha – Av. Luciano das Neves;Vila Velha;;ES;29107-900;;;10/10/2025
cobasi;Pet Shop Cobasi Villa Lobos;Rua Manoel Velasco;São Paulo;;SP;05319-010;;;10/10/2025
cobasi;Pet Shop Cobasi Vinhedo;Estrada da Boiada;Vinhedo;;SP;13289-020;;;10/10/2025
cobasi;Pet Shop Cobasi Várzea Grande;Avenida Presidente Arthur Bernardes;Varzea Grande;;MT;78125-100;;;10/10/2025
cobasi;Pet Shop Cobasi Água Branca;Avenida Francisco Matarazzo;São Paulo;;SP;05001-000;;;10/10/2025
cobasi;Pet Shop Cobasi Águas Claras;Avenida Sibipiruna;Brasília;;DF;71928-720;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Aldeota;Av. Senador Virgílio Távora;Fortaleza;;CE;60170-078;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Batista Campos;Travessa São Pedro;Belém;;PA;66023-570;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Brasília Águas Claras;Rua 35 Norte;Brasília;;DF;71919-000;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Eusébio;Av. Eusébio de Queiroz;Eusébio;;CE;61765-070;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Fortaleza Washington Soares;Avenida Washington Soares;Fortaleza;;CE;60810-350;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Goiânia Oeste;Avenida Assis Chateaubriand;Goiânia;;GO;74140-020;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Manaíra Shopping;Av. Governador Flávio Ribeiro Coutinho;Cabedelo;;PB;58102-835;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Salvador Graça;Av. Euclydes da Cunha;Salvador;;BA;40150-120;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Salvador Shopping;Avenida Tancredo Neves;Salvador;;BA;41820-910;;;10/10/2025
cobasi;Pet Shop Mundo Pet Cobasi Tirol Natal;Av. Prudente de Morais;Natal;;RN;59020-510;;;10/10/2025
cobasi;Pet&Fácil Washington Luis;Av. Washington Luis;São Paulo;;SP;04627-002;;;10/10/2025
PetCamp;;;;;;;;;10/10/2025
PetCamp;Americana - PetCamp Americana - Loja 049;Rua Olivindo Fonseca;Americana;Vila Margarida;SP;13473303;-22.722279425230226;-47.307288466268965;10/10/2025
PetCamp;Amparo - PetCamp Amparo - Loja 115;R Comendador Guimarães;Amparo;;SP;;;;10/10/2025
PetCamp;Araraquara - PetCamp Alameda - Loja 055;Avenida Francisco Vaz Filho;Araraquara;Jardim Brasil (Vila Xavier);SP;14811128;-21.783948178421035;-48.15794603558206;10/10/2025
PetCamp;Araraquara - PetCamp Selmi - Loja 016;Avenida Queiroz Filho;Araraquara;Jardim das Roseiras;SP;14806017;-21.76883641607764;-48.17153822208965;10/10/2025
PetCamp;Araraquara - PetCamp Damha - Loja 051;Avenida Jacarandá;Araraquara;Residencial Village Damha;SP;14804479;-21.75437858186139;-48.19260526441794;10/10/2025
PetCamp;Araras - PetCamp Araras - 092;Rua Coronel André Ulson Júnior;Araras;Centro;SP;13600690;-22.3568;-47.38062;10/10/2025
PetCamp;Araras - PetCamp Araras Belvedere - Loja 113;Av Padre Alarico Zacharias;Araras;;SP;;;;10/10/2025
PetCamp;Araçatuba - PetCamp Araçatuba - Loja 106;Rua Rio Grande do Sul;Araçatuba;Jardim Nova Yorque;SP;16018015;-21.222266755713616;-50.43972867475035;10/10/2025
PetCamp;Avaré - Avaré - 080;Travessa Tenente Cabral;Avaré;Braz I;SP;18701181;-23.09747;-48.91863;10/10/2025
PetCamp;Barretos - Petcamp Barretos Industrial - 097;Avenida Manoel Serafim;Barretos;Industrial;SP;14783285;-20.57212;-48.55842;10/10/2025
PetCamp;Barretos - PetCamp Barretos - Loja 062;Avenida Pedro Lelis Dias;Barretos;Nobre Ville;SP;14783700;-20.544379547117366;-48.577271520238426;10/10/2025
PetCamp;Bauru - PetCamp Bauru Centro- Loja 108;Rua Gustavo maciel;Bauru;;SP;;;;10/10/2025
PetCamp;Bauru - PetCamp Bauru Aiello - Loja 089;Avenida Affonso José Aiello 150 Quadra 19;Bauru;Vila Aviação;SP;17018905;-22.35695;-49.04852;10/10/2025
PetCamp;Bauru - PetCamp Bauru - Loja 076;Travessa Bom Jardim;Bauru;Vila Cardia;SP;17013700;-22.325417542352795;-49.055696622089656;10/10/2025
PetCamp;Birigui - PetCamp Birigui - Loja 094;Rua Dona Rosa;Birigüi;Vila Giampietro;SP;16200777;-21.29230283693745;-50.34865737116407;10/10/2025
PetCamp;Boituva - PetCamp Boituva - Loja 034;Rua Quatro;São Carlos;Parque Novo Mundo;SP;13573508;-23.28766968681494;-47.65285352023861;10/10/2025
PetCamp;Botucatu - PetCamp Botucatu - Loja 081;Rua Cruz Pereira 352;Botucatu;Vila dos Lavradores;SP;18609970;-22.872728057383572;-48.44705296441792;10/10/2025
PetCamp;Campinas - PetCamp Barão - Loja 031;Rua Tereza Zogbi Geraij Mokarzel;Campinas;Barão Geraldo;SP;13084065;-22.829728935399057;-47.078388976059294;10/10/2025
PetCamp;Campinas - PetCamp Barão Geraldo - Loja 003;Rua Francisca Resende Merciai;Campinas;Barão Geraldo;SP;13084195;-22.827794684087056;-47.07985386441755;10/10/2025
PetCamp;Campinas - PetCamp Barão de Itapura- Loja 102;Rua Cristóvão Colombo;Campinas;Vila Rossi;SP;13023230;-22.89018757405804;-47.06195283558206;10/10/2025
PetCamp;Campinas - PetCamp Norte Sul - Loja 004;Rua Antônio Lapa;Campinas;Cambuí;SP;13025241;-22.89873787502705;-47.0478692067462;10/10/2025
PetCamp;Campinas - PetCamp Aquidabã - Loja 005;Rua Luzitana;Campinas;Centro;SP;13015120;-22.91003992109945;-47.05357517791034;10/10/2025
PetCamp;Campinas - PetCamp Jasmim - Loja 029;Rua dos Cravos;Vinhedo;Santa Cândida;SP;13286394;-22.855858080365806;-47.04648392023861;10/10/2025
PetCamp;Campinas - PetCamp Padre Anchieta - Loja 032;Rua Santo Agostinho;Campinas;Conjunto Habitacional Padre Anchieta;SP;13068313;-22.862483267419076;-47.14936673558208;10/10/2025
PetCamp;Campinas - PetCamp Rondon - Loja 002;Rua Domingos Moro;Campinas;Jardim Chapadão;SP;13070026;-22.89326151842209;-47.08584905092552;10/10/2025
PetCamp;Campinas - PetCamp Prado - Loja 028;Rua São José do Rio Pardo;Campinas;Jardim Nova Europa;SP;13040087;-22.94487601996194;-47.051761793253796;10/10/2025
PetCamp;Campinas - PetCamp Jd do Lago - Loja 007;Rua das Rosas;Campinas;Vila Mimosa;SP;13050061;-22.94390317935392;-47.09061125092553;10/10/2025
PetCamp;Campinas - PetCamp Enxuto - Loja 065;Avenida John Boyd Dunlop;Campinas;Jardim Aurélia;SP;13033000;-22.90887481090361;-47.09557396441792;10/10/2025
PetCamp;Campinas - PetCamp Amoreiras - Loja 078;Rua Pedro Galhardi;Campinas;Jardim Yeda;SP;13060616;-22.94481;-47.11121;10/10/2025
PetCamp;Campinas - PetCamp Ciro Leite - Loja 030;Rua José de Sousa Galvão;Campinas;Vila Mimosa;SP;13050041;-22.940225373425246;-47.08794986626896;10/10/2025
PetCamp;Campinas - PetCamp Taquaral - Loja 027;Praça Manoel Lousada;Campinas;Jardim Bela Vista;SP;13077039;-22.87899553175183;-47.04561333558208;10/10/2025
PetCamp;Campinas - PetCamp Suaçuna - Loja 086;Rua Jurura;Campinas;Vila Aeroporto;SP;13054109;-22.97411;-47.128;10/10/2025
PetCamp;Campinas - PetCamp Carmona - Loja 001;Rua Doutor Gabriel Penteado;Campinas;Vila João Jorge;SP;13041305;-22.918487357445613;-47.061044220238614;10/10/2025
PetCamp;Campinas - PetCamp Abolição - Loja 083;Rua Ernesto Buzzo;Campinas;Vila Joaquim Inácio;SP;13045670;-22.92941;-47.0353;10/10/2025
PetCamp;Capivari - PetCamp Capivari - Loja 054;Rua B;Aracaju;Santo Antônio;SE;49061109;-22.998987821784105;-47.515544035582074;10/10/2025
PetCamp;Catanduva - PetCamp Catanduva - Loja 060;Rua Avaí;Catanduva;Centro;SP;15800150;-21.138961182810572;-48.96715863558206;10/10/2025
PetCamp;Cosmópolis - PetCamp Cosmópolis - Loja 021;Rua Campinas;Cosmópolis;Vila Fontana;SP;13150572;-22.647103822495957;-47.18998525092553;10/10/2025
PetCamp;Franca - PetCamp Franca - Loja 068;Rua Pernambuco;Franca;Vila Aparecida;SP;14401322;-20.52705;-47.38601;10/10/2025
PetCamp;Franca - PetCamp Franca BR - Loja 073;Rua Pernambuco;Franca;Vila Aparecida;SP;14401322;-20.526935204617665;-47.386016264417925;10/10/2025
PetCamp;Guaratinguetá - PetCamp Guaratinguetá - Loja 107;Rua Rafael Mollica;Guaratinguetá;Parque Residencial Beira Rio;SP;12517600;-22.796920882175556;-45.18621245889615;10/10/2025
PetCamp;Hortolândia - PetCamp Rosolem - Loja 026;Rua Jorgina de Souza Francisca;Hortolândia;Jardim Viagem;SP;13185376;-22.901028925733154;-47.17273733558206;10/10/2025
PetCamp;Hortolândia - PetCamp Hortolândia - Loja 025;Rua Príncipe Luis II;Hortolândia;Residencial Jardim de Mônaco;SP;13189278;-22.868541330834386;-47.22618827976139;10/10/2025
PetCamp;Indaiatuba - PetCamp Itaici - Loja 020;Praça Luiz Mantoanelli;Indaiatuba;Itaici;SP;13340569;-23.105831175039437;-47.18222163558205;10/10/2025
PetCamp;Indaiatuba - PetCamp Indaiatuba - Loja 022;Rua Trinta;Indaiatuba;Jardins do Império;SP;13348698;-23.09478311673027;-47.2253829067462;10/10/2025
PetCamp;Indaiatuba - PetCamp Indaiás - Loja 063;Rua dos Indaiás;Indaiatuba;Vila Costa e Silva;SP;13344182;-23.10171598636199;-47.21199982208965;10/10/2025
PetCamp;Itapetininga - PetCamp Itapetininga - Loja 036;Praça Sebastião Garcia;Itapetininga;Vila Rio Branco;SP;18208085;-23.59272151107657;-48.0600790067462;10/10/2025
PetCamp;Itaquaquecetuba - PetCamp Itaquaquecetuba - Loja 082;Rua Padre João Manoel;Itaquaquecetuba;Jardim Carolina;SP;08588340;-23.4984;-46.34929;10/10/2025
PetCamp;Itatiba - PetCamp Itatiba Centro - Loja 077;Ladeira Capitão Mello;Itatiba;Centro;SP;13250341;-23.00424;-46.83839;10/10/2025
PetCamp;Itatiba - PetCamp Galetto - Loja 066;Avenida Pedro Mascagni;Itatiba;Jardim Galetto;SP;13253140;-23.009154487087482;-46.82369863558206;10/10/2025
PetCamp;Itu - PetCamp Itu - Loja 037;Rua Argemiro da Silveira D'Elboux;Itu;Alto da Vila Nova;SP;13309330;-23.279469607801204;-47.29054502208966;10/10/2025
PetCamp;Jaboticabal - PetCamp Jaboticabal - Loja 091;Rua Santo André;Jaboticabal;Nova Jaboticabal;SP;14890000;-21.26606;-48.30981;10/10/2025
PetCamp;Jacareí - PetCamp Jacareí Letras - Loja 072;Rua Abílio de Almeida;Jacareí;Loteamento Villa Branca;SP;12301602;-23.264778684701838;-45.9435042932538;10/10/2025
PetCamp;Jaguariúna - PetCamp Jaguariúna - Loja 019;Avenida Lauro de Carvalho;Jaguariúna;Centro;SP;13910025;-22.705751093919865;-46.990374477910336;10/10/2025
PetCamp;Jundiaí - PetCamp Engordadouro - Loja 093;Rua Ravenna;Jundiaí;Engordadouro;SP;13214670;-23.15307056767369;-46.9137651;10/10/2025
PetCamp;Jundiaí - PetCamp Colônia - Loja 043;Rua Agostinho Balestrin;Jundiaí;Núcleo Colonial Barão de Jundiaí;SP;13219647;-23.18275404343197;-46.85640683558207;10/10/2025
PetCamp;Jundiaí - PetCamp Jd Retiro - Loja 052;Praça Raphael Avallone;Jundiaí;Parque do Colégio;SP;13209159;-23.18741760673065;-46.897217464417935;10/10/2025
PetCamp;Leme - PetCamp Leme - Loja 061;Avenida Benedito Landgraf;Leme;Centro;SP;13610010;-22.189068621470387;-47.396417777910344;10/10/2025
PetCamp;Limeira - PetCamp Ouro Verde - Loja 067;Rua Vicente de Felice;Limeira;Jardim Ouro Verde;SP;13482075;-22.584877248001952;-47.42203658779973;10/10/2025
PetCamp;Limeira - PetCamp Limeira - Loja 009;Rua Euclides Xavier de Lima;Limeira;Vila Anita;SP;13484305;-22.559426704192457;-47.41369407791034;10/10/2025
PetCamp;Lins - PetCamp Lins - Loja 088;Travessa Cabo Antônio Belmont;Lins;Vila Alta;SP;16400506;-21.67385;-49.75689;10/10/2025
PetCamp;Matão  - PetCamp Matão  - Loja 071;Rua São Lourenço 536;Matão;Centro;SP;15990971;-21.600807160417183;-48.355527799999265;10/10/2025
PetCamp;Mogi Guaçu - PetCamp Mogi Guaçu - Loja 010;Rua Cinéia Maria do Carmo;Mogi Guaçu;Parque Guainco;SP;13844290;-22.38994107971872;-46.945224850924724;10/10/2025
PetCamp;Mogi Mirim - PetCamp Mogi Mirim - Loja 017;Rua da Bíblia;Mogi Mirim;Santa Cruz;SP;13800445;-22.43908982817026;-46.96436137791034;10/10/2025
PetCamp;Mogi das Cruzes - PetCamp Mogi das Cruzes - Loja 047;Rua José Cordeiro Pereira;Mogi das Cruzes;Vila Lavínia;SP;08737060;-23.516685552836773;-46.18865963558208;10/10/2025
PetCamp;Monte Mor - PetCamp Monte Mor - Loja 064;Viela Monte Mor;Carapicuíba;Jardim Novo Horizonte;SP;06341530;-22.948296243245174;-47.31333998593147;10/10/2025
PetCamp;Nova Odessa - PetCamp Nova Odessa - Loja 011;Rua Hermann Janait;Nova Odessa;Jardim de Éden;SP;13382006;-22.789507846390283;-47.30560270674621;10/10/2025
PetCamp;Paulínia - PetCamp João Aranha - Loja 018;Rua Mané Garrincha;Paulínia;Bela Vista;SP;13145022;-22.75337345234056;-47.167743052442155;10/10/2025
PetCamp;Paulínia - PetCamp Paulínia - Loja 023;Avenida José Paulino;Paulínia;Jardim Fortaleza;SP;13140076;-22.770832286399894;-47.14633183558207;10/10/2025
PetCamp;Pindamonhangaba  - PetCamp Pindamonhangaba - Loja 090;Rua Doutor José Augusto César Salgado;Pindamonhangaba;Jardim Residencial Doutor Lessa;SP;12422570;-22.94699;-45.4778;10/10/2025
PetCamp;Piracicaba - PetCamp Piracicaba Independência - Loja 075;Travessa José Pereira Cardoso;Piracicaba;Nova América;SP;13417757;-22.733704513212153;-47.63848992208965;10/10/2025
PetCamp;Piracicaba - PetCamp Piracicaba - Loja 035;Avenida Rio das Pedras;Piracicaba;Água Branca;SP;13425381;-22.757594546796494;-47.61424956626898;10/10/2025
PetCamp;Pirassununga - PetCamp Pirassununga - Loja 033;Rua Sofia Levy;Pirassununga;Vila Industrial;SP;13631275;-22.01131386942178;-47.42508721044829;10/10/2025
PetCamp;Ribeirão Preto - PetCamp Caramuru - Loja 046;Rua Orestes Guimarães;Ribeirão Preto;Alto da Boa Vista;SP;14025189;-21.199026106933932;-47.82283399090052;10/10/2025
PetCamp;Ribeirão Preto - PetCamp Savegnago - Loja 044;Rua Luiz Gama;Ribeirão Preto;Campos Elíseos;SP;14080220;-21.16438601497339;-47.811919891402745;10/10/2025
PetCamp;Ribeirão Preto - PetCamp RP Nova Aliança- Loja 095;Rua José Ferreira da Costa;Ribeirão Preto;Jardim Nova Aliança Sul;SP;14027070;-21.22135;-47.82784;10/10/2025
PetCamp;Ribeirão Preto - PetCamp Leão XIII - Loja 074;Rua Alfredo Benzoni;Ribeirão Preto;Iguatemi;SP;14091520;-21.196614689580283;-47.778199264417935;10/10/2025
PetCamp;Ribeirão Preto - PetCamp Biagi - Loja 012;Rua Aquidaban;Ribeirão Preto;Santa Cruz do José Jacques;SP;14020689;-21.205825061242557;-47.792222477910336;10/10/2025
PetCamp;Rio Claro - PetCamp Rio Claro Av Brasil - 098;Avenida 50;Rio Claro;Alto do Santana;SP;13504182;-22.3845;-47.55783;10/10/2025
PetCamp;Rio Claro - PetCamp Rio Claro II - Loja 087;Avenida Marginal 1 NR;Rio Claro;Jardim Nova Rio Claro;SP;13502390;-22.40065;-47.58521;10/10/2025
PetCamp;Rio Claro - PetCamp Rio Claro 29 - Loja 112;Av. 29;Rio Claro;;SP;;;;10/10/2025
PetCamp;Rio Claro - PetCamp Rio Claro - Loja 038;Avenida 2;Rio Claro;Condomínio Club Home;SP;13503077;-22.4108551888413;-47.567665550925526;10/10/2025
PetCamp;Santa Barbara d'Oeste -  PetCamp Santa Barbara d'Oeste - 099;Avenida Alfredo Contatto;Santa Bárbara D'Oeste;Jardim Dona Regina;SP;13455726;-22.73865;-47.36502;10/10/2025
PetCamp;Sorocaba - PetCamp Ipanema - Loja 014;Rua Hilda Cardoso da Silva;Sorocaba;Jardim das Flores;SP;18071774;-23.463137969708722;-47.497211804895166;10/10/2025
PetCamp;Sorocaba - PetCamp Sorocaba Atanázio - Loja 105;Rua Diógenes Cardoso Filho;Sorocaba;Jardim São Guilherme;SP;18074643;-23.453120099112393;-47.48410022208966;10/10/2025
PetCamp;Sorocaba - PetCamp Campolim - Loja 045;Rua Heloísa Oliveira Evangelista;Sorocaba;Parque Campolim;SP;18048123;-23.53370398176573;-47.475109122089656;10/10/2025
PetCamp;Sorocaba - PetCamp Sorocaba Independência - Loja 070;Rua Euclides da Cunha;Sorocaba;Vila Independência;SP;18040330;-23.506186765167;-47.47167476441792;10/10/2025
PetCamp;Sumaré -  PetCamp Sumaré Real Park - Loja 085;Rua Guengo Kobayashi;Sumaré;Residencial Real Parque Sumaré;SP;13178553;-22.82577;-47.21425;10/10/2025
PetCamp;Sumaré - PetCamp Sumaré Maria Luiza- Loja 103;Rua Jose Elpidio de Oliveira;Sumaré;Jardim Cidade Nova (Nova Veneza);SP;13178312;-22.80100306811321;-47.19349534051822;10/10/2025
PetCamp;Sumaré - PetCamp Sumaré - Loja 013;Avenida Rebouças;Sumaré;Centro;SP;13170023;-22.822607500223555;-47.272151450925534;10/10/2025
PetCamp;Sumaré - PetCamp Santa Rosa - Loja 015;Rua Austrália;Hortolândia;Jardim Golden Park Residence;SP;13189116;-22.847152888893348;-47.211527206746204;10/10/2025
PetCamp;São Carlos - PetCamp São Carlos - Loja 040;Alameda A;São Carlos;Condomínio Residencial Village São Carlos ll;SP;13565400;-21.967649026391886;-47.891240564417934;10/10/2025
PetCamp;São José do Rio Preto - PetCamp Presidente - Loja 053;Avenida Presidente Juscelino Kubitschek de Oliveira;São José do Rio Preto;Jardim Moysés Miguel Haddad;SP;15093215;-20.852033690648327;-49.4130941625669;10/10/2025
PetCamp;São José do Rio Preto - PetCamp Yolanda - Loja 057;Rua Waldomiro Nadotti;São José do Rio Preto;;SP;;-20.80916120601065;49.3519504625669;10/10/2025
PetCamp;São José do Rio Preto - PetCamp São Miguel- Loja 110;Rua Virgílio Dias de Castro;São José do Rio Preto;Conjunto Habitacional São Deocleciano;SP;15057030;-20.79286699258243;-49.344561937269184;10/10/2025
PetCamp;São José do Rio Preto - PetCamp Estudantes - Loja 041;Alameda Franca;São José do Rio Preto;Jardim Roseana;SP;15030125;-20.80865024731069;-49.39685955092552;10/10/2025
PetCamp;São José do Rio Preto - PetCamp  SJRP Coronel - Loja 079;Rua Redentora;São José do Rio Preto;Vila Redentora;SP;15015780;-20.81744;-49.39046;10/10/2025
PetCamp;São José dos Campos - PetCamp São José dos Campos Urbanova - Loja 118;Rua Doutor Luiz Fernando Leite Chaves;São José dos Campos;Condomínio Residencial Montserrat;SP;12244131;-23.1891759521909;-45.933738415343704;10/10/2025
PetCamp;São José dos Campos - PetCamp São José dos Campos Chaparral - Loja 119;Avenida Jorge Cury;São José dos Campos;Condomínio Residencial Monaco;SP;12244141;-23.205254760962752;-45.905445500000006;10/10/2025
PetCamp;São José dos Campos - PetCamp São José dos Campos Valesul - Loja 122;Rua Bertioga;São José dos Campos;Jardim Satélite;SP;12230710;-23.235275477446216;-45.88441472883592;10/10/2025
PetCamp;São José dos Campos - PetCamp São José dos Campos Aquarius - Loja 121;Rua Agenor Cursino;São José dos Campos;Altos do Esplanada;SP;12246012;-23.214754049593534;-45.90155652883592;10/10/2025
PetCamp;São José dos Campos  - PetCamp São José dos Campos - Loja 101;Rua José Felicidade da Silva;São José dos Campos;Residencial Gazzo;SP;12236844;-23.261359181867878;-45.900086594477536;10/10/2025
PetCamp;São José dos Campos - PetCamp São José dos Campos JK - Loja 120;Rua Bem-te-vi;São José dos Campos;Condomínio Residencial Alphaville I;SP;12244052;-23.183309643586195;-45.85795645713995;10/10/2025
PetCamp;Tatuí - PetCamp Tatuí - Loja 116;Av Coronel Firmo Vieira de Camargo;Tatuí;;SP;;;;10/10/2025
PetCamp;Taubaté- PetCamp Taubaté Aparecida - Loja 104;Rua Antonio Pereira de Andrade;Taubaté;Vila Aparecida;SP;12052072;-23.01470533877772;-45.56483592212625;10/10/2025
PetCamp;Taubaté - PetCamp Taubaté - Loja 050;Rua Eurico Pereira Pena;Taubaté;Jardim Califórnia;SP;12062170;-23.004907557541955;-45.5504435625669;10/10/2025
PetCamp;Uberaba - PetCamp Uberaba Leopoldino - Loja 109;Avenida Leopoldino de Oliveira;Uberaba;Conjunto Frei Eugênio;MG;38081035;-19.755581053309275;-47.91796084056645;10/10/2025
PetCamp;Uberaba - PetCamp 3P Uberaba - Loja 084;Rua Doutor Antônio Rodrigues Braga;Uberaba;Irmãos Soares;MG;38060570;-19.74961;-47.94919;10/10/2025
PetCamp;Valinhos - PetCamp Valinhos - Loja 039;Rua Antônio Negrello;Valinhos;Apaga Fogo;SP;13277151;-22.99223846112855;-47.00616913558206;10/10/2025
PetCamp;Vinhedo - PetCamp Vinhedo - Loja 008;Rua Pouso do Chico Rey;Vinhedo;Santa Cândida;SP;13286674;-23.026919383668464;-46.98137554907447;10/10/2025
PetCamp;Votorantim - PetCamp Votorantim - Loja 042;Rua Zulmira Ramos;Votorantim;Jardim Paraíso;SP;18110370;-23.535670919254503;-47.45173067791034;10/10/2025
petland;Petland Lins;Rua Dom Bosco;Lins;Vila Alta;SP;16400-505;;;10/10/2025
petland;Petland Vila Gumercindo;Rua Tupanaci;São Paulo;Vila Gumercindo;SP;04131-020;;;10/10/2025
petland;Petland Textil;;São Paulo;;SP;03422-001;;;10/10/2025
petland;Petland Menino Deus;Avenida Getúlio Vargas;Porto Alegre;Menino Deus;RS;90150-002;;;10/10/2025
petland;Petland Arvoredo;Avenida Princesa Isabel;Contagem;Parque Recreio;MG;32110-000;;;10/10/2025
petland;Petland Lajeado;Avenida Benjamin Constant;Lajeado;Centro;RS;95900-056;;;10/10/2025
petland;Petland Ipiranga;Rua Bom Pastor;São Paulo;Ipiranga;SP;04203-052;;;10/10/2025
petland;Petland Chácara Santo Antônio;Rua Cancioneiro Popular;São Paulo;Santo Amaro;SP;04710-000;;;10/10/2025
petland;Petland Limeira;Rua Sete de Setembro;Limeira;Centro;SP;13480-150;;;10/10/2025
petland;Petland Vila Mascote;Avenida Mascote;São Paulo;Vila Mascote;SP;04363-000;;;10/10/2025
petland;Petland Tude Bastos;Avenida Irmãos Adorno;Praia Grande;Sítio do Campo;SP;11725-320;;;10/10/2025
petland;Petland Araçatuba;Rua Sarjob Mendes;Araçatuba;Icaray;SP;16020-360;;;10/10/2025
petland;Petland Grageru;Avenida Ministro Geraldo Barreto Sobral;Aracaju;Grageru;SE;49027-255;;;10/10/2025
petland;Petland Aliança;Rua Bom Pastor;São Paulo;Ipiranga;SP;04203-052;;;10/10/2025
petland;Petland Outlet Premium Imigrantes;Estrada da Cama Patente;São Bernardo do Campo;Alvarenga;SP;09842-100;;;10/10/2025
petland;Petland Vila A;Avenida Engenheiro Hildemar Leite França;Foz do Iguaçu;Vila Residencial A;PR;85860-320;;;10/10/2025
petland;Petland Tapejara;;Tapejara;;RS;99950-000;;;10/10/2025
petland;Petland  São Mateus;Avenida Presidente Itamar Franco;Juiz de Fora;São Mateus;MG;36016-321;;;10/10/2025
petland;Petland Rio Branco;Avenida Doutor Ulysses Guimarães;Diadema;Vila Nogueira;SP;09990-080;;;10/10/2025
petland;Petland Parque São Lucas;Rua Francisco Fett;São Paulo;Vila Paulo Silas;SP;03264-000;;;10/10/2025
petland;Petland Novo Eldorado;Avenida Doutor Cincinato Cajado Braga;Contagem;Novo Eldorado;MG;32341-310;;;10/10/2025
petland;Petland Mexicão;Avenida Capitão-mor Aguiar;São Vicente;Centro;SP;11310-201;;;10/10/2025
petland;Petland Marco Belém;Avenida Rômulo Maiorana;Belém;Marco;PA;66093-672;;;10/10/2025
petland;Petland Jardim das Flores;Rua Osório Duque Estrada;Osasco;Pestana;SP;06122-000;;;10/10/2025
petland;Petland Horto Florestal;Rua Izidro Roque da Silva Telo;Sorocaba;Horto Florestal;SP;18074-745;;;10/10/2025
petland;Petland Parque dos Anjos;Avenida Antônio Gomes Correa;Gravataí;Parque dos Anjos;RS;94190-300;;;10/10/2025
petland;Petland Mongaguá;;Mongaguá;;SP;11730-000;;;10/10/2025
petland;Petland Campo Bom;;Campo Bom;;RS;93700-000;;;10/10/2025
