empresa;nome;endereco;cidade;bairro;estado;cep;latitude;longitude;data_extracao
cobasi;Pet Shop Cobasi Buritis;Avenida Professor Mário Werneck;Belo Horizonte;;MG;30575-180;;;10/10/2025
cobasi;Pet Shop Cobasi Butantã;Av. Profº Francisco Morato;São Paulo;;SP;05513-300;;;10/10/2025
cobasi;Pet Shop Cobasi Cachoeirinha;Av Parada Pinto;São Paulo;;SP;02611-002;;;10/10/2025
cobasi;Pet Shop Cobasi Caminho do Mar;Avenida Caminho do Mar;São Bernardo do Campo;;SP;09609-000;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Abolição;Rua da Abolição;Campinas;;SP;13041-445;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Amoreiras;Av. Ruy Rodrigues;Campinas;;SP;13060-192;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Cambuí;Av. Orosimbo Maia;Campinas;;SP;13024-045;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Cambuí II;Rua Coronel Francisco Andrade Coutinho;Campinas;;SP;13025-190;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Princesa d’ Oeste;Av. Princesa D'Oeste;Campinas;;SP;13100-040;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Shopping Galleria;Rodovia Dom Pedro I;Campinas;;SP;13091-910;;;10/10/2025
cobasi;Pet Shop Cobasi Campinas Taquaral;Avenida Doutor Theodureto de Almeida Camargo;Campinas;;SP;13075-630;;;10/10/2025
cobasi;Pet Shop Cobasi Campo Grande MS;Avenida Afonso Pena;Campo Grande;;MS;79020-000;;;10/10/2025
cobasi;Pet Shop Cobasi Campo Limpo;Avenida Carlos Lacerda;São Paulo;;SP;05788-290;;;10/10/2025
cobasi;Pet Shop Cobasi Candangolandia;Setor de Postos e Motéis Sul I;Brasília;;DF;71727-800;;;10/10/2025
cobasi;Pet Shop Cobasi Canoas;Avenida Farroupilha;Canoas;;RS;92020-475;;;10/10/2025
cobasi;Pet Shop Cobasi Canoas BR116;Avenida Getulio Vargas;Canoas;;RS;92010-013;;;10/10/2025
cobasi;Pet Shop Cobasi Cantareira Norte Shopping;Avenida Raimundo Pereira de Magalhães;São Paulo;;SP;02984-035;;;10/10/2025
cobasi;Pet Shop Cobasi Carapicuíba;Avenida Desembargador Doutor Eduardo Cunha de Abreu;Carapicuíba;;SP;06328-330;;;10/10/2025
cobasi;Pet Shop Cobasi Carrefour Nações;Avenida das Nações Unidas;São Paulo;;SP;04794-000;;;10/10/2025
cobasi;Pet Shop Cobasi Carrão;Rua Serra de Botucatu;São Paulo;;SP;03317-001;;;10/10/2025
cobasi;Pet Shop Cobasi Casa Forte;R. Leonardo Bezerra Cavalcanti;Recife;;PE;52060-030;;;10/10/2025
cobasi;Pet Shop Cobasi Cascavel;Av. Brasil;Cascavel;;PR;85812-500;;;10/10/2025
