empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
POP Pet Center;Pop Pet Cidade Nova (Av Transamazonica) – PA;Avenida Transamazônica;Cidade Nova;Marabá;PA;68501660;-5.3680893;-49.1320558
POP Pet Center;Pop Pet São Judas Tadeu – Goiânia GO;Avenida Dom Pedro II;Vila Jardim São Judas Tadeu;Goiânia;GO;74685210;-16.6149701;-49.2523747
POP Pet Center;Pop Pet Cidade Vera Cruz – Ap. de Goiânia GO;Praça A 2;Cidade Vera Cruz;Aparecida de Goiânia;GO;74935030;-16.7617437;-49.2911164
POP Pet Center;Pop Pet Sitio Santa Luzia – Ap. de Goiânia GO;Rua Direita;Parque Flamboyant;Goiânia;GO;74860623;-16.7497511;-49.2292306
POP Pet Center;Pop Pet Vianopolis – GO;Rua Felismino Viana 203 Sala 3;Setor Central;Vianópolis;GO;75265970;-16.7470788;-48.521034
POP Pet Center;Pop Pet Aragoiania – GO;;;Aragoiânia;GO;75360000;-16.9138389;-49.4543749
POP Pet Center;Pop Pet Marechal Rondon – Goiânia GO;Rua 42;Setor Centro Oeste;Goiânia;GO;74560620;-16.6555622;-49.2740611
POP Pet Center;Pop Pet Jardim Planalto – Goiânia GO;Rua Luxemburgo;Jardim Europa;Goiânia;GO;74330190;-16.7163077;-49.3112
POP Pet Center;Pop Pet Ipora – GO;Avenida Pio XII 126;Setor Central;Itaberaí;GO;76630971;-16.4480377;-51.1204017
POP Pet Center;Pop Pet Leste Universitario – Goiânia GO;Avenida Pio XII 126;Setor Central;Itaberaí;GO;76630971;-16.4480377;-51.1204017
POP Pet Center;Pop Pet Senador Canedo (Centro) – GO;Rua Ingazeiro;Conjunto Habitacional Jardim Sabiá;Senador Canedo;GO;75250035;-16.7021785;-49.1024251
POP Pet Center;Pop Pet Guaraí – TO;;;Guaraí;TO;77700000;-8.8356771;-48.5147625
POP Pet Center;Pop Pet Vila Mauá (Bandeiras) – Goiânia GO;Rua Egerineu Teixeira;Vila Mauá;Goiânia;GO;74323210;-16.7006562;-49.3174082
