empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude
petland;Petland Paulista;Rua Bela Cintra;Consolação;São Paulo;SP;01415-001;-235.524.085.573;-46.655.224.424
petland;Petland Parque das Américas;Rua Bolívia;Parque das Américas;Mauá;SP;09350-636;-236.604.399.964;-464.527.457.021
petland;Petland Papini;;;"
  São Paulo";SP;indisponivel;361.614.974;-1.152.890.058
petland;Petland Nicomedes;Avenida Nicomedes Alves dos Santos;Morada da Colina;Uberlândia;MG;38411-106;-189.631.213;-482.736.062
petland;Petland Nebraska;Rua Nebraska;Brooklin Novo;São Paulo;SP;04560-010;-236.124.075.642;-466.789.609.418
petland;Petland Matozinhos;Avenida Tomé Portes Del Rei;Vila Santo Antônio (Matozinhos);São João Del Rei;MG;36305-058;-211.256.939;-442.372.126
petland;Petland Pinheiros – Mateus Grou;Rua Mateus Grou;Pinheiros;São Paulo;SP;05415-050;-239.510.200.413;-46.636
petland;Petland José Menino;Rua Rei Jorge VI;José Menino;Santos;SP;11065-310;-23.967.423;-463.560.768
petland;Petland Jasmim;Rua Jasmim;Chácara Primavera;Campinas;SP;13087-460;-228.554.178;-470.486.638
petland;Petland Jardim dos Colibris;Avenida Josué Ferreira da Silva;Jardim dos Colibris;Indaiatuba;SP;13349-125;-23.119.243;-472.547.852
petland;Petland Janga;Avenida Doutor Cláudio José Gueiros Leite;Janga;Paulista;PE;53437-000;-79.393.032;-348.249.069
petland;Petland Jaguaribe;Avenida Flora;Bussocaba;Osasco;SP;06053-130;-23.533;-467.984.788.456
petland;Petland Jaboticabeiras;Praça Marta de Miranda de El Rei;Padre Cursino;Taubaté;SP;12030-760;-230.204.559;-455.563.555
petland;Petland Independência;Avenida Independência;Independência;Taubaté;SP;12031-000;-230.395.693;-455.688.392
petland;Petland Higienópolis;Praça Vilaboim;Higienópolis;São Paulo;SP;01241-010;-235.565.500.015;-466.453.266.737
petland;Petland Guaianazes Otelo;Rua Otelo Augusto Ribeiro;Guaianazes;São Paulo;SP;08412-000;-230.261.799.449;-472.052.215.857
petland;Petland Jaú;Rua General Isidoro;Chácara Braz Miraglia;Jaú;SP;17207-270;-222.899.353;-48.553.312
petland;Petland Garcia;;;"
  Aracaju";"
  SE";indisponivel;"
  -10.942.078.703";"
  -3.705.355.680"
petland;Petland Formiga;Avenida Doutor Henrique Braga;Centro;Formiga;MG;35570-030;-204.628.628;-454.325.227
petland;Petland Santa Rosa;Avenida Expedicionário Weber;Central;Santa Rosa;RS;98787-000;-278.616.407;-54.454.857
petland;Petland Dom Nery;Rua Dom Nery;Vila Embaré;Valinhos;SP;13271-170;-229.684.707;-470.011.055
